date,exercise,weight,units,reps
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,power clean,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/27/12,front barbell squat,155,lb,1
11/28/12,barbell squat,185,lb,3
11/28/12,barbell squat,185,lb,3
11/28/12,barbell squat,185,lb,3
11/28/12,barbell squat,185,lb,3
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/28/12,barbell squat,185,lb,2
11/29/12,barbell squat,165,lb,5
11/29/12,barbell squat,185,lb,5
11/29/12,barbell squat,185,lb,5
11/29/12,clean,165,lb,9
11/29/12,clean,165,lb,7
11/29/12,clean,165,lb,5
12/7/12,barbell squat,135,lb,5
12/7/12,barbell squat,165,lb,5
12/7/12,barbell squat,185,lb,5
12/7/12,barbell squat,205,lb,5
12/7/12,barbell squat,225,lb,5
12/7/12,barbell squat,225,lb,5
12/7/12,barbell squat,225,lb,5
12/7/12,barbell squat,225,lb,5
12/7/12,clean,155,lb,5
12/7/12,clean,155,lb,5
12/7/12,clean,155,lb,5
12/7/12,clean,155,lb,5
12/7/12,clean,155,lb,5
12/11/12,barbell squat,135,lb,5
12/11/12,barbell squat,135,lb,5
12/11/12,barbell squat,185,lb,5
12/11/12,barbell squat,235,lb,3
12/11/12,barbell squat,235,lb,3
12/11/12,barbell squat,235,lb,3
12/11/12,barbell squat,235,lb,3
12/11/12,barbell squat,235,lb,3
12/12/12,clean,165,lb,3
12/12/12,clean,165,lb,3
12/12/12,clean,185,lb,3
12/12/12,clean,185,lb,1
12/12/12,clean,185,lb,1
12/12/12,clean,185,lb,1
12/12/12,clean,185,lb,1
12/12/12,jerk,75,lb,3
12/12/12,jerk,75,lb,3
12/12/12,jerk,75,lb,3
12/12/12,jerk,75,lb,3
12/12/12,front barbell squat,135,lb,5
12/12/12,front barbell squat,135,lb,5
12/12/12,front barbell squat,165,lb,5
12/12/12,front barbell squat,165,lb,5
12/12/12,front barbell squat,165,lb,5
12/12/12,front barbell squat,165,lb,5
12/12/12,press,75,lb,3
12/12/12,press,75,lb,3
12/12/12,press,75,lb,3
12/12/12,press,75,lb,3
12/12/12,press,75,lb,3
12/25/12,barbell squat,135,lb,5
12/25/12,barbell squat,165,lb,5
12/25/12,barbell squat,185,lb,5
12/25/12,barbell squat,185,lb,5
12/25/12,barbell squat,185,lb,5
12/25/12,barbell squat,185,lb,5
12/25/12,barbell squat,185,lb,5
12/25/12,clean,170,lb,5
12/25/12,clean,170,lb,5
12/25/12,clean,170,lb,5
12/25/12,clean,170,lb,5
12/25/12,clean,170,lb,5
12/25/12,press,75,lb,5
12/25/12,press,75,lb,5
12/25/12,press,75,lb,5
12/25/12,press,75,lb,5
12/25/12,press,75,lb,5
12/28/12,clean,165,lb,3
12/28/12,clean,165,lb,3
12/28/12,clean,165,lb,3
12/28/12,clean,165,lb,3
12/28/12,clean,165,lb,3
12/29/12,barbell squat,135,lb,5
12/29/12,barbell squat,165,lb,5
12/29/12,barbell squat,185,lb,5
12/29/12,barbell squat,215,lb,3
12/29/12,barbell squat,215,lb,3
12/29/12,barbell squat,215,lb,3
12/29/12,barbell squat,215,lb,3
12/29/12,barbell squat,215,lb,3
12/29/12,clean,175,lb,3
12/29/12,clean,175,lb,3
12/29/12,clean,175,lb,3
12/29/12,clean,175,lb,3
12/29/12,clean,175,lb,3
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,front barbell squat,155,lb,5
1/13/13,press,95,lb,5
1/13/13,press,100,lb,5
1/13/13,press,105,lb,5
1/13/13,press,110,lb,5
1/13/13,press,110,lb,5
1/15/13,clean,155,lb,2
1/15/13,clean,155,lb,2
1/15/13,clean,155,lb,2
1/15/13,front barbell squat,135,lb,5
1/15/13,front barbell squat,155,lb,5
1/15/13,front barbell squat,175,lb,5
1/15/13,front barbell squat,175,lb,5
1/15/13,front barbell squat,175,lb,5
1/15/13,front barbell squat,185,lb,5
1/15/13,press,75,lb,5
1/15/13,press,95,lb,5
1/15/13,press,105,lb,5
1/15/13,press,105,lb,5
1/15/13,press,105,lb,5
1/16/13,barbell squat,165,lb,5
1/16/13,barbell squat,165,lb,5
1/16/13,barbell squat,165,lb,5
1/16/13,barbell squat,165,lb,5
1/16/13,barbell squat,165,lb,5
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,clean and jerk,155,lb,1
1/16/13,power clean,155,lb,1
1/16/13,power clean,155,lb,1
1/16/13,power clean,155,lb,1
1/16/13,power clean,155,lb,1
1/16/13,power clean,155,lb,1
1/31/13,front barbell squat,115,lb,12
1/31/13,front barbell squat,115,lb,12
1/31/13,front barbell squat,115,lb,12
1/31/13,front barbell squat,115,lb,12
1/31/13,front barbell squat,115,lb,12
2/18/13,barbell squat,95,lb,10
2/18/13,barbell squat,135,lb,10
2/18/13,barbell squat,155,lb,10
2/18/13,barbell squat,185,lb,10
2/18/13,barbell squat,185,lb,10
2/18/13,barbell squat,185,lb,10
2/18/13,front barbell squat,135,lb,5
2/18/13,front barbell squat,135,lb,5
2/18/13,front barbell squat,135,lb,5
2/18/13,front barbell squat,135,lb,5
2/19/13,barbell deadlift,225,lb,7
2/19/13,barbell deadlift,225,lb,7
2/19/13,barbell deadlift,225,lb,7
2/19/13,barbell deadlift,225,lb,7
2/19/13,jerk,135,lb,3
2/19/13,jerk,135,lb,3
2/19/13,jerk,135,lb,3
2/19/13,jerk,135,lb,3
2/19/13,jerk,135,lb,3
2/19/13,front barbell squat,135,lb,5
2/19/13,front barbell squat,165,lb,5
2/19/13,front barbell squat,165,lb,5
2/19/13,front barbell squat,165,lb,5
2/21/13,barbell squat,165,lb,5
2/21/13,barbell squat,165,lb,5
2/21/13,barbell squat,190,lb,5
2/21/13,barbell squat,190,lb,5
2/21/13,clean,165,lb,5
2/21/13,clean,165,lb,5
2/21/13,clean,165,lb,5
2/21/13,clean,135,lb,5
2/21/13,jerk,135,lb,5
2/21/13,jerk,150,lb,5
2/21/13,jerk,150,lb,5
2/21/13,jerk,150,lb,5
2/21/13,clean pull,190,lb,2
2/21/13,clean pull,190,lb,2
2/21/13,clean pull,190,lb,2
2/21/13,clean pull,200,lb,3
2/21/13,clean pull,200,lb,3
2/21/13,clean pull,200,lb,3
2/22/13,barbell squat,135,lb,3
2/22/13,barbell squat,155,lb,3
2/22/13,barbell squat,185,lb,3
2/22/13,barbell squat,225,lb,3
2/22/13,barbell squat,225,lb,3
2/22/13,barbell squat,225,lb,3
2/22/13,barbell squat,225,lb,3
2/22/13,barbell squat,225,lb,3
2/22/13,barbell squat,225,lb,3
2/22/13,barbell squat,225,lb,3
2/22/13,barbell squat,225,lb,3
2/22/13,barbell squat,115,lb,15
2/22/13,barbell squat,115,lb,15
2/22/13,front barbell squat,115,lb,10
2/22/13,front barbell squat,115,lb,10
2/22/13,front barbell squat,115,lb,10
2/22/13,front barbell squat,115,lb,10
2/22/13,front barbell squat,115,lb,10
2/24/13,clean,135,lb,1
2/24/13,clean,155,lb,1
2/24/13,clean,155,lb,1
2/24/13,clean,175,lb,1
2/24/13,clean,185,lb,1
2/24/13,clean,185,lb,1
2/24/13,clean,195,lb,1
2/24/13,front barbell squat,135,lb,5
2/24/13,front barbell squat,135,lb,5
2/24/13,front barbell squat,155,lb,5
2/24/13,front barbell squat,175,lb,5
2/24/13,front barbell squat,185,lb,5
2/24/13,front barbell squat,185,lb,5
2/24/13,front barbell squat,185,lb,5
2/24/13,clean pull,215,lb,2
2/24/13,clean pull,215,lb,3
2/24/13,clean pull,215,lb,3
2/24/13,clean pull,215,lb,3
2/26/13,barbell squat,195,lb,5
2/26/13,barbell squat,195,lb,5
2/26/13,clean,135,lb,5
2/26/13,clean,135,lb,5
2/26/13,clean,165,lb,3
2/26/13,clean,165,lb,3
2/26/13,clean,165,lb,3
2/26/13,clean,175,lb,2
2/26/13,clean,175,lb,2
2/26/13,clean and jerk,135,lb,3
2/26/13,clean and jerk,135,lb,3
2/26/13,clean and jerk,135,lb,3
2/26/13,clean and jerk,155,lb,2
2/26/13,clean and jerk,155,lb,2
2/26/13,clean and jerk,135,lb,3
2/26/13,clean and jerk,135,lb,3
2/26/13,clean and jerk,135,lb,3
2/26/13,clean and jerk,155,lb,2
2/26/13,clean and jerk,155,lb,2
2/27/13,clean and jerk,135,lb,3
2/27/13,clean and jerk,135,lb,3
2/27/13,clean and jerk,155,lb,3
2/27/13,clean and jerk,155,lb,3
2/27/13,clean and jerk,165,lb,2
2/27/13,clean and jerk,165,lb,2
2/27/13,clean and jerk,165,lb,2
2/27/13,clean and jerk,135,lb,3
2/27/13,clean and jerk,135,lb,3
2/27/13,clean and jerk,155,lb,3
2/27/13,clean and jerk,155,lb,3
2/27/13,clean and jerk,165,lb,2
2/27/13,clean and jerk,165,lb,2
2/27/13,clean and jerk,165,lb,2
2/27/13,front barbell squat,185,lb,5
2/27/13,front barbell squat,185,lb,5
2/27/13,clean pull,200,lb,3
2/27/13,clean pull,200,lb,3
2/27/13,clean pull,200,lb,2
2/27/13,clean pull,200,lb,2
2/27/13,clean pull,200,lb,2
3/1/13,power clean,135,lb,3
3/1/13,power clean,155,lb,3
3/1/13,power clean,155,lb,3
3/1/13,power clean,155,lb,3
3/1/13,power clean,155,lb,3
3/1/13,clean pull,195,lb,2
3/1/13,clean pull,195,lb,2
